Car,Attractive,Quiet,Unreliable,Sporty,Uncomfortable,Roomy,Prestige,Economical,PoorValue,S1,S2,S3
G20,5.8,6.3,3,4.1,3.2,4.2,6.4,3.6,3.4,5.5,5.3,6.3
Ford T-bird,4,3.6,4.2,4.9,4,3.9,3.5,3.7,4.3,3.1,5,3.6
Audi 90,4.6,5.2,3.7,3.8,2.4,5.3,5.6,3.6,4.3,5.3,6.7,4
Toyota Supra,5.6,4.2,2,6.2,3.7,3.5,5.3,3.2,3.5,5.6,3.2,6.1
Eagle Talon,4,3.5,4.3,4.9,4,3.6,2.8,4.9,3.6,3.1,3.1,5.9
Honda Prelude,5.2,5.4,3.2,5.1,3.3,3.9,4.7,5,2.6,6.1,5.4,6.6
Saab 900,5.3,4.8,3.4,4.3,2.5,5.8,5.4,4.3,2.9,6.9,5.8,6.4
Pontiac Firebird,3.9,2.8,3.9,5.7,4.3,3.3,3.8,3.1,4.3,2.7,2.5,3.7
BMW 318i,5.7,5,2.3,4.1,3.5,4.3,6.4,4.3,3.3,6.3,5.4,7.1
Mercury Capri,3.9,3.3,4,5.2,4.4,3.6,3.3,4.6,3.8,2.7,5.8,4.4
